,Title,Label
10350,Portfolio Manager,Finance Specialist
10353,"Senior QA Engineer, Deep Submicron Department",Software Developer
10356,Procurement and Logistics Manager,Manager
10357,Sous Chef,Health Manager
10360,Marketing Manager,Marketing Specialist
10362,Senior Financial Officer,Finance Specialist
10363,English Language Trainer,Training Specialist
10364,Lawyer,Lawyer
10365,Chief Accountant,Accountant
10366,Software Engineer,Raw
10367,"Analyst, Investment Banking Department",Teller
10368,Purchasing and Marketing Manager,Marketing Specialist
10370,"Intermediate QA Analyst, Functional Testing",Software Developer
10371,Executive Assistant,Raw
10372,Medical Representative,Medical Representative
10374,Sales Manager,Sales Manager
10375,Training and Development Specialist,Training Specialist
10376,Software/ Senior Software Engineer,Software Developer
10377,Software Engineer,Software Developer
10378,Training and Development Manager,Training Specialist
10380,Embedded Platform Software Developer,Software Developer
10387,Van-Seller,Sales Manager
10390,Financial Reporting Specialist,Finance Specialist
10393,Chief Financial Officer,Finance Specialist
10394,"Junior Consultant, Management Advisory Services",Consultant
10395,Android Application Developer,Java Developer
10396,PMU Project Manager,Raw
10397,Short-Term Financial Specialist,Credit Officer
10398,Import Manager,Export/ Import Manager
10400,Accountant,Accountant
10401,Manager of Commercial Department,Department Head
10403,Deputy Chief Accountant,Accountant
10407,Optimization Engineer,Engineer
10409,HR Assistant,Assistant
10411,Monitoring and Evaluation Consultant,Raw
10412,HR Manager,Raw
10413,Brand Manager,Brand Manager
10414,Chief Executive Director of  North-South Road Corridor,Director
10418,Database Administrator,Raw
10419,Radiologist/ Technician,Medical Representative
10421,Deputy Chief of Party,Raw
10423,Marketing Specialist/ Component Leader,Specialist
10425,Management Specialist/ Component Leader,Specialist
10427,Internship Program in Hunan Resources Area,Project Manager/ Assistant
10431,Medical Representative,Medical Representative
10433,"PR Junior Specialist (PR, Marketing and Development Department)",PR Specialist
10434,"Executive Assistant, Legal Service",Manager
10435,Lawyer,Lawyer
10436,Head of Investors Relation,Marketing Specialist
10439,HoReCa Manager,Office Manager
10440,Journalist,Journalist
10441,Senior QA Engineer,Engineer
10442,1C Programmer,Programmer
10443,Bottling Line Operator,Operations Manager
10444,Stock Keeper,Marketing Specialist
10445,English Language Development Specialist,Translator
10447,Fashion Buyer,Brand Manager
10451,Merchandiser,Sales Manager
10453,Assistant to Director,Director
10454,Procurement and Logistics Specialist,Specialist
10455,"Senior Specialist, Customer Transaction Record-Keeping Unit",Customs Specialist
10459,IT Manager,Finance Specialist
10460,HR Manager,HR Specialist
10464,Communication Service Center (CSC) Agent,Customs Specialist
10467,Inspection Reform Expert,Consultant
10468,Legal Advisor,Lawyer
10469,Human Resources Senior Specialist,HR Specialist
10470,Chief Accountant,Accountant
10472,Babysitter/ Governess,Raw
10473,Media Museum Manager,Media Specialist
10475,Project Manager,Project Manager/ Assistant
10476,Accountant,Accountant
10477,Brand Manager,Brand Manager
10478,External Relations Officer/ Chief Editor,Raw
10481,Data Product Sales Officer,Brand Manager
10482,Import Manager,Export/ Import Manager
10483,"Asset Management, Senior Analyst (Associate)",Raw
10484,"Asset Management, Portfolio Manager (Director)",Raw
10486,Senior Internal Control Office /Compliance Officer/,Controller
10488,Assistant for the Resident Twinning Adviser,Assistant
10489,Fruit Armenia (FA) Value Chain Manager,Raw
10490,Fruit Armenia (FA) Nursery Manager,Raw
10491,Fruit Armenia (FA) Financial Manager,Finance Specialist
10492,Debtor Manager,Raw
10493,Debt Collection Officer,Loan Specialist
10496,Merchandiser,Finance Specialist
10497,Chief Financial Officer (CFO),Accountant
10498,IT Manager,Office Manager
10505,HR Assistant,Assistant
10506,Marketing Specialist,Marketing Specialist
10509,Native Persian Speaking Manager,Finance Specialist
10511,Admin/HR Assistant GS-6,Finance Specialist
10513,Laboratory Representative/ Invitro Specialist,Medical Representative
10515,Store Manager,Brand Manager
10516,Representative,Raw
10517,Senior Technical Advisor on Strategic Community Development,Director
10518,Internet & Multimedia Engineer,Support Engineer
10519,IT System Support Engineer,Support Engineer
10522,Fundraising Specialist,Raw
10523,Food Safety Specialist,Health Manager
10524,UNIX System Administrator,Unix Administrator
10530,Head of Loan Department,Loan Specialist
10532,Audit Consultant,Auditor
10534,Tender Specialist,Specialist
10536,Civil Society Program Officer,Project Manager/ Assistant
10539,Operations Manager,Operations Manager
10541,Chemist/ Analyst,Analyst
10545,Local Proposal Writing Expert,Raw
10547,Recruitment Manager,Software Developer
10548,Marketing Specialist in Fashion Sphere,Brand Manager
10549,Financial Analyst,Analyst
10550,Deputy Chief Accountant,Accountant
10553,Senior Finance and Treasury Assistant,Assistant
10554,Chief Accountant,Raw
10559,Head of Marketing Department,Marketing Specialist
10560,Medical Representative in Gyumri,Medical Representative
10561,Administrative/ Finance Associate,Raw
10562,Administrator of the Information Networks and Active Directory,Information Officer
10563,Technical Specialist/ Team Leader for Quality Improvement,Medical Representative
10564,Assistant/ Translator-Interpreter,Finance Specialist
10566,Consultant/ Decorator,Consultant
10567,Policy and Government Engagement Specialist,Raw
10568,Call Center Specialist,Call Center Specialist
10569,Community Development Program Coordinator,Communication Specialist
10570,Advocacy and Transparency Specialist,Raw
10572,Senior Quality Engineer,Engineer
10578,Product Specialist,Brand Manager
10581,IT Specialist,Project Manager/ Assistant
10582,Methodology and Quality Management Specialist,Manager
10583,Sales Development Specialist,Project Manager/ Assistant
10584,Brand Representative,Brand Manager
10585,Chief Accountant,Accountant
10591,Fast Food Restaurant Manager,Brand Manager
10595,Web Content Manager,Web Developer/ Designer
10596,Financial Specialist,Specialist
10599,"Technologist, Information and Communication Technologies",Software Developer
10600,Head of the English Language Chair,Director
10601,Emergency Care Consultant,Health Manager
10602,Brand Manager,Brand Manager
10603,Senior C++ Developer (Unix),C/ C++ Developer
10608,Storage/ Back-up IT Specialist,Raw
10609,HR Coordinator,HR Specialist
10613,Promoter-Salesperson,Brand Manager
10619,Medical Representative,Raw
10620,Program Coordinator,Project Manager/ Assistant
10625,Business Operations Manager,Raw
10628,Software Development Manager,Software Developer
10630,Service Technician,Raw
10633,"Senior Technical Marketing Engineer, Deep Submicron Department",Marketing Specialist
10635,Family Based Care Advisor,Medical Representative
10636,Innovations and Quality Unit Senior Specialist,Raw
10638,Head of Legal Department,Lawyer
10639,Monitoring and Analysis Group Leading Specialist,Controller
10644,Business Loans Department Leading Specialist,Credit Officer
10645,Fashion Buyer,Brand Manager
10646,PR and Promotion Specialist,PR Specialist
10649,Chinese Language Specialist,Raw
10651,Sales Associate,Sales Manager
10652,Senior Software Developer,Software Developer
10653,Project Assistant,Project Manager/ Assistant
10655,Project Manager,Project Manager/ Assistant
10656,Coordinator/ Administrator,Customs Specialist
10660,Java Developer,Java Developer
10661,Programmer,Software Developer
10665,Insurance Agent,Sales Agent
10666,Executive Assistant,Assistant
10667,Logistician-Driver,Raw
10668,Exploration Geologist,Raw
10669,Trade Marketing Assistant,Marketing Specialist
10670,Sponsorship and Events Coordinator,Tour Manager
10674,C# and ASP.NET Software Engineer,Software Developer
10676,Executive Assistant,Assistant
10677,Java and Spring MVC Software Engineer,Software Developer
10678,Program Coordinator,Raw
10681,Cashier,Receptionist
10682,Artashat Branch Manager,Branch Manager
10684,Merchandising Specialist,Sales Manager
10685,Adviser,Customs Specialist
10687,English Language Specialist,Translator
10688,Corporate Customer Relationship Manager,Customs Specialist
10690,"HR Specialist, Human Resource Management Department",HR Specialist
10692,Chief Accountant,Accountant
10695,Loan Monitoring Specialist,Controller
10697,Billing Administrator,Credit Officer
10698,QA/ Test Engineer,Engineer
10699,Retail Information System and Data Administrator,Sales Manager
10700,Vanadzor Branch Manager,Branch Manager
10701,Delinquent Credits Collection Agent,Credit Officer
10702,Customer Service Officer,Customs Specialist
10703,Financial Director,Director
10704,Sales Consultant,Customs Specialist
10706,SharePoint Developer,Software Developer
10707,Talent Relations Specialist and Office Assistant,Raw
10708,Senior Database Developer,Software Developer
10709,Intermediate C++ Developer,Software Developer
10711,Intermediate Database Developer,C/ C++ Developer
10712,Service Coordinator,Customs Specialist
10713,Senior C++ Developer,Software Developer
10715,Facebook Applications Developer,Web Developer/ Designer
10716,Marketing and PR Manager,Marketing Specialist
10717,Interpreter/ Administrative Assistant,Translator
10719,Software Developer,Software Developer
10720,Senior Auditor,Auditor
10722,Sales Consultant in Franchisee Shop,Brand Manager
10725,Financial Specialist,Specialist
10726,"General Specialist, Business Loans Department",Finance Specialist
10727,Associate Advisor,Project Manager/ Assistant
10729,Medical Representative,Medical Representative
10730,Finance and Administrative Assistant,Assistant
10732,"Merchandiser, Gyumri",Marketing Specialist
10733,"Loan Officer in Kajaran Branch, Retail Banking Unit",Loan Specialist
10734,"Warehousemen, Auxiliary Service",Marketing Specialist
10735,Translator,Raw
10736,HR Manager,HR Specialist
10737,"Contract Manager, Auxiliary Service",Manager
10738,Office Manager,Finance Specialist
10739,Digital Marketing Manager,Raw
10740,Internal Financial Monitoring Specialist,Credit Officer
10741,Landscape and Graphic Designer,Graphic Designer
10742,Component 3 Team Leader,Raw
10743,Senior ICT (Information  and Communications Technology) Advisor,Raw
10744,"Vice President, Corporate Finance Unit, Investment Banking",Raw
10746,Sales Manager,Sales Manager
10747,Quality Assurance Engineer/ Project Manager,Engineer
10748,Visual Display Manager,Graphic Designer
10749,Internet Market Project Coordinator,Brand Manager
10753,Trader,Sales Manager
10761,Chief Accountant,Accountant
10762,"Procurement Specialist in Staff, Auxiliary Service",Raw
10764,Assistant to General Director/ Translator,Director
10766,Brand Manager,Brand Manager
10767,Head of Internal Accounting Division,Accountant
10768,International Relations Specialist,Raw
10770,Administration Manager,Director
10773,Junior Business Management Project Officer,Raw
10774,.NET Developer,Software Developer
10775,International Commercial Lawyer,Auditor
10777,Fiscal/ Tax Economist,Credit Officer
10778,Technical Assistant to Food Safety Project/ Intern,Health Manager
10779,Tax Administration Specialist/ Component 2 Team Leader,Credit Officer
10780,Public-Private Dialogue Specialist/ Component 3 Team Leader,Raw
10781,Database Developer,Software Developer
10782,Translator,Credit Officer
10784,Human and Institutional Capacity Development Training Specialist,Raw
10786,C/ C++ Embedded Software Developer,Software Developer
10787,Client Solutions Engineer,Teller
10788,Customer Support Representative,Customs Specialist
10789,Environmental Coordinator,Systems Administrator
10790,Sport Journalist,Journalist
10791,Secretary,Raw
10792,Web Developer,Web Developer/ Designer
10793,Sorting Operator,Operations Manager
10794,Sales Specialist,Sales Manager
10796,Tax Policy Senior Analyst,Credit Officer
10799,Monitoring and Evaluation Specialist,Raw
10800,Help Desk Specialist,Raw
10801,IT Supervisor,Director
10802,Doctor/ Expert,Medical Representative
10803,Software Sales Representative,Sales Manager
10804,Community Nurse,Medical Representative
10806,Assistant to General Director,Assistant
10807,Marketing Executive,Brand Manager
10810,Transformational Development Facilitator in Gyumri,Software Developer
10812,User Experience Specialist,Web Developer/ Designer
10813,Head of Customer Service Department,Customs Specialist
10815,Flex/ ActionScript Web Application Developer,Software Developer
10817,Sales Director,Director
10820,QE Manager,Software Developer
10822,.NET Senior Software Developer,Software Developer
10824,Web Designer,Web Developer/ Designer
10826,Expert for Bio-Resource Management,Raw
10827,Senior Software Developer,C/ C++ Developer
10828,Senior Software Developer,Software Developer
10829,PHP Developer,PHP Developer
10831,Sales Director,Sales Manager
10834,Underwriter on Non-personal Lines of Insurance,Finance Specialist
10835,Medical Insurance Underwriter,Medical Representative
10837,Food Safety Specialist,Health Manager
10838,Construction Project Manager,Project Manager/ Assistant
10839,Senior Software Engineer,Engineer
10840,.NET Software Developer,.NET Developer
10843,Chief Executive Officer,Marketing Specialist
10846,QA Analyst,Analyst
10849,Commercial Manager,Manager
10852,Project Manager in Operations Department,Finance Specialist
10854,Legal Assistant,Lawyer
10855,Sales Department Manager,Sales Manager
10856,Supermarket Director,Brand Manager
10857,Lawyer,Lawyer
10860,Server Administrator,Unix Administrator
10861,Senior Software Developer,Engineer
10863,Team Leader/ Expert in Monitoring of ENPI Implementation in,Raw
10865,QA / Test Engineer,Engineer
10866,Brand Manager,Brand Manager
10867,Investment Officer,Software Developer
10868,Educational Coordinator,Technical Support
10871,Regional Network Coordinator,Raw
10872,Credit Officer for Sevan Branch,Credit Officer
10873,Senior Manager of Support Services,Raw
10874,Credit Officer for Artashat Branch,Credit Officer
10875,Software Engineer,Engineer
10877,Senior Technical Marketing Engineer,Marketing Specialist
10878,Commercial Representative,Raw
10879,Head of Sales Department,Sales Manager
10880,Territory Executive,Raw
10882,Senior Software Engineer,Software Engineer
10883,Quality Assurance Engineer,Engineer
10884,Business Consultant,Consultant
10885,Lawyer,Lawyer
10887,Product Manager,Brand Manager
10890,Senior Schematic Design Engineer,Software Engineer
10891,Software Developer,Software Developer
10892,IT Technician,Raw
10894,Junior Associate to the EUAG Advisor on Law Enforcement,Raw
10895,Software Developer,Software Developer
10896,Legal Consultant,Project Manager/ Assistant
10900,Resident Twinning Advisor (RTA) Assistant,Raw
10901,Resident Twinning Advisor (RTA) Interpreter,Raw
10902,Software Engineer,Raw
10903,Release/ Platform Engineer,Engineer
10904,Wash Consultant,Raw
10905,Senior Java Developer,Java Developer
10906,Logistics Manager,Raw
10907,National Professional Officer (NO-B),Raw
10908,Programmer,Programmer
10910,Procurement Specialist,Raw
10911,Testing Engineer,Test Engineer
10912,Senior Procurement Officer / Team Leader,Raw
10915,Lawyer,Lawyer
10916,Database Developer,Software Developer
10917,Executive Assistant,Assistant
10918,Quality Assurance Engineer,Engineer
10920,Key Account Director (KAD),Raw
10921,Local Consultant for Armenia SME Finance Program,Information Officer
10922,ASP.NET Senior Developer,Software Developer
10923,Junior SCRUM Master,Software Developer
10924,Product Technical Sales (PTS),Brand Manager
10927,International Account Manager,Auditor
10928,.Net Software Developer,.NET Developer
10932,Sales Manager,Sales Manager
10936,Junior Software Engineer,Software Developer
10937,Government Budget Analysis and Oversight Team Leader,Raw
10939,Legislative Analysis Team Leader,Raw
10941,Legal and Organizational Development Team Leader,Raw
10942,Cashier,Raw
10944,General Manager,Marketing Specialist
10945,M&E and Communications Specialist,Raw
10947,Cashier in Yerevan,Receptionist
10949,Head of MIS Unit,Raw
10950,Database Administrator,Finance Specialist
10952,Head of Economic Planning and Analysis Unit,Unit Manager
10953,Cashier in Abovyan,Receptionist
10954,Teller/ Operator in Yerevan,Customs Specialist
10955,Retail Finance Analyst,Sales Manager
10956,Senior Software Engineer,Engineer
10957,Credit Officer in Abovyan,Credit Officer
10958,Advanced/ Senior Lawyer,Lawyer
10959,Corporate Client Manager,Teller
10960,Environmental Senior Officer,Systems Administrator
10961,Credit Officer in Yerevan,Credit Officer
10963,Network Administrator,Network Administrator
10964,Teller/ Operator in Abovyan,Customs Specialist
10965,Regional Hotel Manager,Sales Manager
10966,Marketing Specialist,Marketing Specialist
10967,Monitoring Specialist,Loan Specialist
10968,Chief Accountant For UCO and Production Company,Accountant
10969,Customer Relationship Development Manager,Customs Specialist
10971,Sales Manager,Sales Manager
10972,Credit Analyst,Credit Officer
10973,Medical Representative,Medical Representative
10975,Administrative Assistant,Assistant
10976,Watchman,Raw
10977,Engineer,Engineer
10978,C#/ ASP.NET Developer,.NET Developer
10980,.NET Developer,.NET Developer
10981,Assistant for FAO-Technical Cooperation Project,Assistant
10982,Animal Identification and Registration Specialist/ National,Raw
10983,Database Administrator,Finance Specialist
10986,PHP Developer,PHP Developer
10987,Project Manager for Technical Quality,Finance Specialist
10988,SQA Engineer,Test Engineer
10989,Program Manager/ Refugees Programs,Project Manager/ Assistant
10990,Legal Adviser/ Lawyer,Lawyer
10991,Cashier,Receptionist
10992,Recruitment Junior Assistant,Assistant
10993,Investment Officer,Software Developer
10994,Sales Floor Manager,Sales Manager
10995,Sales Associate,Sales Manager
10997,Electronic Engineer,Network Engineer
10998,Security Assistant,Manager
10999,Warehouse Manager,Manager
11001,Front-End/ HTML Developer,Web Developer/ Designer
11002,UI Web Developer Lead,Web Developer/ Designer
11005,Senior Database Developer,C/ C++ Developer
11006,UI Web Developer,Web Developer/ Designer
11007,Intermediate Database Developer,C/ C++ Developer
11008,RTA and Language Assistant,Project Manager/ Assistant
11010,Medical Representative,Medical Representative
11011,Community Development Specialist,Communication Specialist
11012,Software Developer,Software Developer
11013,Medical Representative,Medical Representative
11017,Network Administrator,Network Administrator
11018,C/ C++ Software Engineer,Engineer
11019,Gardener,Raw
11020,TIMS Manager for CIS Countries,Finance Specialist
11021,Project Coordinator,Project Manager/ Assistant
11026,Replacement Driver/ Vanadzor Project Office,Driver
11028,Training Centre Manager,Training Specialist
11029,Expert for Biodiversity Conservation,Raw
11030,RTA Language Assistant,Assistant
11031,Senior Manager of Support Services,Customs Specialist
11032,IN/VAS/Messaging Engineer,Raw
11033,Project Coordinator,Project Manager/ Assistant
11034,Roaming Engineer,Roaming Engineer
11035,PR Specialist,Office Manager
11036,Psychologist,Raw
11038,Accountant,Accountant
11039,Visual Display Manager,Graphic Designer
11040,Specialist of Credit Deals Monitoring Unit,Credit Officer
11042,Internet and Multimedia Engineer,Web Developer/ Designer
11043,Community Development Program Manager,Raw
11045,Pediatric Doctor for Research Study,Finance Specialist
11046,Medical Nurse/ Feldsher,Medical Representative
11047,Pediatric Nurse  for Research Study,Finance Specialist
11048,Senior Software Architect,Architect
11049,Senior Objective C Developer,C/ C++ Developer
11050,Associate Banker,Raw
11051,Marketing Manager,Marketing Specialist
11058,Experienced Lawyer,Teller
11062,Research Specialist,Analyst
11064,iPhone Application Developer,Software Developer
11066,PR/ Communications Specialist,PR Specialist
11067,Sales Manager,Sales Manager
11068,Card Project Planning and Implementation Specialist,Raw
11069,Monitoring and Evaluation (M&E) Specialist,Raw
11071,Card Project Service Specialist,Raw
11074,Java Frontend Developer,Web Developer/ Designer
11076,Financial Consumer Education Program Assistant,Finance Specialist
11077,Sales and Marketing Specialist,Sales Manager
11079,Strategy Development Specialist,Software Developer
11080,Program Manager Assistant Intern,Raw
11082,Learning Coach,Raw
11083,Executive Assistant GS-5,Manager
11084,Technical Supporter,Technical Support
11086,Software Developer,Software Developer
11087,Chemist,Engineer
11091,Postal Operator in Kotayk Branch,Branch Manager
11092,Senior .NET Developer,.NET Developer
11093,Senior Graphic Designer,Graphic Designer
11096,IT Systems Administrator,Systems Administrator
11099,Interaction Designer,Graphic Designer
11104,Baby Food Expert,Health Manager
11106,Software Developer,Raw
11107,HR Generalist,Raw
11108,Head of Loan Department,Credit Officer
11110,Laboratory Technician/ Vanadzor Project,Raw
11112,Medical Equipment Specialist,Medical Representative
11113,External Relations Specialist,Raw
11116,Medical Representative,Medical Representative
11117,Auditor,Auditor
11118,Translator,Health Manager
11119,ASP.NET Senior Web Developer,Software Developer
11120,Credit Officers,Credit Officer
11121,Senior Consultant,Consultant
11123,Sales Manager,Sales Manager
11124,Sales Manager in Syunik Marz,Sales Manager
11125,Sales Manager in Yeravan,Sales Manager
11126,Loan Officer,Loan Specialist
11127,Sales Manager in Gharabagh,Sales Manager
11128,Sales Manager in Shirak Marz,Sales Manager
11129,Senior C# .Net Developer,.NET Developer
11130,Assistant to Regional Manager,Assistant
11133,Credit Officer for Stepanavan Branch,Credit Officer
11134,Senior Java Web Developer,Java Developer
11135,Java Web Developer,Java Developer
11136,Card Service Unit Specialist,Raw
11137,Sales Manager,Sales Manager
11138,Project Manager,Project Manager/ Assistant
11139,Medical Representative,Medical Representative
11140,Specialist in IT and Automation Division/ Technical Support Unit,Technical Support
11141,Chief Architect,Architect
11142,Architect,Architect
11145,Java Web Developer,Web Developer/ Designer
11146,Senior Flash Developer,Software Developer
11147,Mobile Application Developer,Software Developer
11148,Frontend Developer,Web Developer/ Designer
11149,Senior Java Backend Developer,Java Developer
11150,Administrative Coordinator,Finance Specialist
11151,Product Manager,Raw
11152,Broadband Internet Consultant,Call Center Specialist
11153,Credit Risk Chief Specialist,Credit Officer
11156,Java Web Developer,Java Developer
11157,Deputy Director,Director
11158,Dentist,Engineer
11160,Operator for Service Department,Office Manager
11164,Sales Manager,Sales Manager
11165,Finance Controller,Controller
11166,QA Engineer/ Project Manager,Engineer
11169,Graphic Designer,Graphic Designer
11171,Secretary,Director
11175,Administrator,Finance Specialist
11176,Ruby Developer,Software Developer
11178,National Legal Officer,Raw
11179,Administrative Assistant,Finance Specialist
11180,Procurement and Asset Management Assistant,Raw
11181,Project Assistant,Raw
11182,MS SQL Database Administrator,Unix Administrator
11185,System Administrator,Software Developer
11187,Web Developer,Software Developer
11188,National Project Officer,Project Manager/ Assistant
11189,Human Resources Specialist,HR Specialist
11190,Local Governance Expert/ Municipal Services,Raw
11191,Local Governance Expert/ Financial Management and Economics,Raw
11193,Brand Manager,Brand Manager
11195,Integration Engineer,Engineer
11200,Brand Manager,Brand Manager
11201,Technology Trainer,C/ C++ Developer
11203,Language Assistant for EU Twinning Project,Project Manager/ Assistant
11204,RTA Assistant for EU Twinning Project,Project Manager/ Assistant
11205,Senior Software Engineer (EDA),Engineer
11206,Software Engineer (EDA),Engineer
11207,Software QA Engineer (EDA),QA Engineer
11208,Lead Software  Engineer (EDA),Software Developer
11209,Mass Media Program Coordinator,Media Specialist
11210,Senior Software Engineer for Mobile and Web Applications,Software Developer
11211,Senior Embedded Software Developer,Software Developer
11212,Embedded Software Developer,Software Developer
11213,Director for Mobile and Web Applications,Software Developer
11214,Software Engineer for Mobile and Web Applications,Software Developer
11215,Project Coordinator,Project Manager/ Assistant
11216,Embedded Software Director,Software Developer
11218,Finance Specialist,Project Manager/ Assistant
11219,Mass Market Marketing Specialist,Marketing Specialist
11221,Core Engineer,Support Engineer
11223,Chief Financial Officer,Director
11224,Senior Digital Engineer,Software Developer
11227,ICT Specialist,Raw
11228,Import Logistics Specialist,Raw
11230,M4P Internship/ How to Make Markets Work for Poor,Marketing Specialist
11231,Deputy Chief Accountant,Accountant
11233,Senior Specialist Banking Operations Unit,Teller
11234,Lawyer,Lawyer
11235,Accountant,Accountant
11237,Senior Programme Associate,Raw
11238,Senior Software Engineer,Software Engineer
11239,Executive Assistant,Assistant
11241,Senior QA Engineer/ Deep Submicron Department,Software Developer
11245,Web Developer,Web Developer/ Designer
11246,Senior Software Developer,Software Developer
11247,Financial Expert,Raw
11249,Accountant,Accountant
11250,1C Programmer,Programmer
11251,C/ C++ Senior Software Engineer,Engineer
11252,Chemical Engineer,Engineer
11253,Informatics Control Engineer,Engineer
11256,Kapan Branch Manager,Branch Manager
11258,Leading Specialist of Archiving Unit,Specialist
11259,Technical Support Engineer,Support Engineer
11261,Marketing Assistant,Marketing Specialist
11262,CAD Engineer,Software Developer
11265,SharePoint Developer,Software Developer
11266,Software Developer,Software Developer
11267,Collections Specialist,Credit Officer
11269,Loan Analysis and Monitoring Specialist,Loan Specialist
11270,Risk Management Specialist,Credit Officer
11271,Methodology Lead Specialist,Operations Manager
11273,Election Observer,Raw
11274,Election Expert,Raw
11275,Election Co-ordination Expert,Raw
11276,Agriculture Machinery and Equipment Service Technician /,Assistant
11278,Transmission Engineer,Software Developer
11279,Public Relations Assistant,PR Specialist
11281,Election Co-ordination Consultant,Raw
11283,Sales Manager,Sales Manager
11284,Leasing Specialist,Raw
11285,Marketing Partner Manager,Marketing Specialist
11286,Program Officer/ Community Mobilizer,Raw
11289,Tour Manager,Tour Manager
11290,Commercial Project Manager,Project Manager/ Assistant
11291,Shift Mechanic,Raw
11293,Manager of Transport Fleet  Division,Transport Manager
11294,SOS Children's Village Programme Director,Raw
11295,ASP.Net/ C# Senior Web Developer,Web Developer/ Designer
11296,Receptionist,Receptionist
11297,Financial Analyst,Marketing Specialist
11298,UI Web Developer Lead,Web Developer/ Designer
11300,Front-end/ HTML Developer,Software Developer
11301,Assistant Administrator/ Yerevan Project Office,Finance Specialist
11302,Interaction Designer,Graphic Designer
11303,Senior .NET Developer,.NET Developer
11304,QA Automation Engineer,Engineer
11305,Environmental Education Program Manager,Social Worker
11306,Herbal and Food Processing Specialist with Value Chain/,Raw
11307,Manager,Office Manager
11308,Translator/ Vanadzor Project,Finance Specialist
11309,IT Systems Administrator,Systems Administrator
11310,UI Web Developer,Web Developer/ Designer
11313,SharePoint Developer,Software Developer
11314,.NET Developer,.NET Developer
11316,Site Implementation Senior Engineer,Software Developer
11318,Testing Engineer,Test Engineer
11319,iPhone Application Developer,Java Developer
11320,Receptionist,Raw
11321,NGO Leader,Technical Support
11322,Merchandising Manager,Raw
11324,Retail Operations Director,Brand Manager
11325,PHP Developer,PHP Developer
11326,French Speaking Support Representative,Translator
11328,Shop Assistant,Customs Specialist
11332,PIU  Interpreter/ Translator,Translator
11333,Marketing and PR Specialist,Marketing Specialist
11334,Accountant,Raw
11335,Mid-Level Software Developer,Software Developer
11336,Sales Representative,Sales Manager
11337,Logistics and Supply Chain Manager,Manager
11338,Lawyer,Lawyer
11340,Head of Import Department,Department Head
11341,Native/ Near-Native English Teacher,Translator
11348,Financial Analyst,Analyst
11351,Specialist Assisting to Public Bodies/ Policy and Legal Acts,Raw
11352,HR Manager,Raw
11353,Senior Place and Route Software Engineer,Software Developer
11359,Fraud and Revenue Assurance Analyst/ Developer,Credit Officer
11360,C++ Software Engineer,Engineer
11362,General Manager,Manager
11363,QA Analyst/ Functional Testing/ Web and Mobile,Software Developer
11364,Executive Chef/ Chef Cook,Health Manager
11366,Chief Financial Officer,Finance Specialist
11367,.NET Windows Mobile Developer,.NET Developer
11368,Production Manager,Brand Manager
11370,Web Developer,Software Developer
11371,Agriculture Machinery and Equipment Service Technician/ Intern/,Assistant
11372,ASP.Net Developer,Software Developer
11373,Contracts Officer,Lawyer
11374,National Consultant for Forest Fire Management,Social Worker
11375,Sales Manager,Sales Manager
11376,English Language Specialist,Translator
11377,Young Economists Possessing Research Potential and Skills,Analyst
11378,Lawyer,Lawyer
11379,Economist/ Economic Research Department (3 identical positions),Analyst
11381,Service Engineer,Engineer
11383,Executive Assistant,Assistant
11384,Director,Director
11386,Senior QA Analyst/ Functional Testing,Analyst
11387,Psychologist,Raw
11388,National Expert in Budget Reform and Democratic Accountability,Raw
11389,IT Service Delivery Manager,Raw
11390,SharePoint Developer,C/ C++ Developer
11392,Customer Support Representative,Customs Specialist
11393,National Expert in External Audit,Auditor
11394,National Expert in Programme Budgeting in the Field of State,Raw
11395,C++ Software Engineer,Engineer
11396,Project/ Program Assistant,Raw
11398,Entry-level C++ Software Engineer,Engineer
11399,Internal Control Department Manager,Raw
11403,C#/ .NET Backend Developer,Software Developer
11404,Translator,Translator
11406,Java-Web Developer,Software Developer
11407,Senior Frontend Developer,Web Developer/ Designer
11409,Project Management Unit Project Manager,Project Manager/ Assistant
11410,Project Management Unit Procurement Specialist,Raw
11413,Advertisement Specialist,Raw
11414,Financial Analyst,Analyst
11415,Journalist,Journalist
11419,Java Senior Software Developer,Java Developer
11420,Senior Java Developer,Java Developer
11421,Executive Director,Director
11423,Senior PHP Backend Engineer,PHP Developer
11424,.NET Senior Software Developer,Software Developer
11425,1C Programmer,Programmer
11426,Database and Report Manager,Data Analyst
11427,Manager of Stores Chain,Brand Manager
11428,Senior Android Developer,Android Developer
11429,Sales Consultant,Consultant
11430,Software Developer,Software Developer
11431,Budgeting and Cost Control Senior Officer,Credit Officer
11432,Irrigation Engineer,Engineer
11436,1C Tester and Analyst,Analyst
11438,Sales Associate,Sales Manager
11441,Grants Management Leader,Project Manager/ Assistant
11442,Web Developer,Raw
11443,IT Specialist/ System Administrator,Raw
11444,Transformational Development Facilitator/ Vardenis,Software Developer
11445,Transformational Development Facilitator/ Stepanavan,Software Developer
11447,Contract Administrator,Project Manager/ Assistant
11448,HVAC Engineer,Engineer
11449,Project Assistant,Raw
11450,Tester,Software Developer
11451,Planning and Analysis Specialist,Project Manager/ Assistant
11453,Finance Officer,Finance Specialist
11454,Sales Coordinator in Large Accounts,Sales Manager
11455,Distribution Manager,Brand Manager
11456,Communications Manager,Raw
